Type,Onset,Duration,DurationCorrected
TTLin1,91518.250,183.250,183.250
Opto1,91539.750,224.250,204.250
TTLin1,92018.000,183.250,183.250
Opto1,92039.500,224.250,204.250
TTLin1,92517.750,183.250,183.250
Opto1,92539.000,224.500,204.500
TTLin1,93017.500,183.250,183.250
Opto1,93038.750,224.500,204.500
TTLin1,93517.250,183.250,183.250
Opto1,93538.250,224.500,204.500
TTLin1,94016.750,183.250,183.250
Opto1,94038.250,224.500,204.500
TTLin1,94516.500,183.250,183.250
Opto1,94538.000,224.250,204.250
TTLin1,95016.250,183.250,183.250
Opto1,95037.500,224.500,204.500
TTLin1,95516.000,183.250,183.250
Opto1,95537.250,224.500,204.500
TTLin1,96015.750,183.000,183.000
Opto1,96037.250,224.250,204.250
TTLin1,96515.500,183.000,183.000
Opto1,96536.750,224.500,204.500
TTLin1,97015.000,183.250,183.250
Opto1,97036.250,224.750,204.750
TTLin1,97514.750,183.250,183.250
Opto1,97536.000,224.750,204.750
TTLin1,98014.500,183.250,183.250
Opto1,98036.000,224.250,204.250
TTLin1,98514.250,183.250,183.250
Opto1,98535.750,224.250,204.250
TTLin1,99014.000,183.250,183.250
Opto1,99035.250,224.500,204.500
TTLin1,99513.500,183.250,183.250
Opto1,99535.000,224.500,204.500
TTLin1,100013.250,183.250,183.250
Opto1,100034.750,224.500,204.500
TTLin1,100513.000,183.250,183.250
Opto1,100534.500,224.250,204.250
TTLin1,101012.750,183.250,183.250
Opto1,101034.250,224.250,204.250
TTLin1,101512.500,183.250,183.250
Opto1,101533.750,224.500,204.500
TTLin1,102012.000,183.250,183.250
Opto1,102033.750,224.250,204.250
TTLin1,102511.750,183.250,183.250
Opto1,102533.250,224.500,204.500
TTLin1,103011.500,183.250,183.250
Opto1,103033.000,224.250,204.250
TTLin1,103511.250,183.250,183.250
Opto1,103532.500,224.750,204.750
TTLin1,104011.000,183.250,183.250
Opto1,104032.500,224.250,204.250
TTLin1,104510.750,183.250,183.250
Opto1,104532.000,224.500,204.500
TTLin1,105010.500,183.250,183.250
Opto1,105032.000,224.000,204.000
TTLin1,105510.000,183.250,183.250
Opto1,105531.500,224.500,204.500
TTLin1,106009.750,183.250,183.250
Opto1,106031.250,224.500,204.500
TTLin1,106509.500,183.250,183.250
Opto1,106531.000,224.500,204.500
TTLin1,107009.250,183.250,183.250
Opto1,107030.500,224.500,204.500
TTLin1,107509.000,183.250,183.250
Opto1,107530.250,224.500,204.500
TTLin1,108008.750,183.250,183.250
Opto1,108030.000,224.500,204.500
TTLin1,108508.500,183.250,183.250
Opto1,108529.750,224.500,204.500
TTLin1,109008.000,183.250,183.250
Opto1,109029.500,224.250,204.250
TTLin1,109507.750,183.250,183.250
Opto1,109529.250,224.500,204.500
TTLin1,110007.500,183.250,183.250
Opto1,110029.000,224.250,204.250
TTLin1,110507.250,183.250,183.250
Opto1,110528.750,224.250,204.250
TTLin1,111007.000,183.250,183.250
Opto1,111028.500,224.250,204.250
TTLin1,111506.750,183.250,183.250
Opto1,111528.000,224.500,204.500
TTLin1,112006.250,183.250,183.250
Opto1,112027.750,224.500,204.500
TTLin1,112506.000,183.250,183.250
Opto1,112527.500,224.500,204.500
TTLin1,113005.750,183.250,183.250
Opto1,113027.000,224.750,204.750
TTLin1,113505.500,183.250,183.250
Opto1,113526.750,224.500,204.500
TTLin1,114005.250,183.250,183.250
Opto1,114026.750,224.250,204.250
TTLin1,114504.750,183.250,183.250
Opto1,114526.250,224.500,204.500
TTLin1,115004.500,183.250,183.250
Opto1,115026.250,224.250,204.250
TTLin1,115504.250,183.250,183.250
Opto1,115525.750,224.500,204.500
TTLin1,116004.000,183.250,183.250
Opto1,116025.500,224.250,204.250
TTLin1,116503.750,183.250,183.250
Opto1,116525.250,224.250,204.250
TTLin1,117003.500,183.250,183.250
Opto1,117025.000,224.250,204.250
TTLin1,117503.250,183.250,183.250
Opto1,117524.750,224.250,204.250
TTLin1,118003.000,183.250,183.250
Opto1,118024.250,224.500,204.500
TTLin1,118502.500,183.250,183.250
Opto1,118524.000,224.500,204.500
TTLin1,119002.250,183.250,183.250
Opto1,119023.750,224.250,204.250
TTLin1,119502.000,183.250,183.250
Opto1,119523.500,224.500,204.500
TTLin1,120001.750,183.250,183.250
Opto1,120023.000,224.500,204.500
TTLin1,120501.500,183.250,183.250
Opto1,120522.750,224.500,204.500
TTLin1,121001.250,183.250,183.250
Opto1,121022.750,224.250,204.250
TTLin1,121501.000,183.250,183.250
Opto1,121522.250,224.500,204.500
TTLin1,122000.750,183.250,183.250
Opto1,122022.000,224.500,204.500
TTLin1,122500.500,183.000,183.000
Opto1,122521.750,224.250,204.250
TTLin1,123000.000,183.250,183.250
Opto1,123021.250,224.500,204.500
TTLin1,123499.750,183.250,183.250
Opto1,123521.000,224.500,204.500
TTLin1,123999.500,183.250,183.250
Opto1,124020.750,224.500,204.500
TTLin1,124499.250,183.250,183.250
Opto1,124520.500,224.250,204.250
TTLin1,124999.000,183.000,183.000
Opto1,125020.250,224.500,204.500
TTLin1,125498.750,183.000,183.000
Opto1,125520.000,224.500,204.500
TTLin1,125998.250,183.250,183.250
Opto1,126019.750,224.250,204.250
TTLin1,126498.000,183.250,183.250
Opto1,126519.500,224.250,204.250
TTLin1,126997.750,183.250,183.250
Opto1,127019.000,224.500,204.500
TTLin1,127497.500,183.000,183.000
Opto1,127518.750,224.500,204.500
TTLin1,127997.000,183.250,183.250
Opto1,128018.500,224.250,204.250
TTLin1,128496.750,183.250,183.250
Opto1,128518.250,224.250,204.250
TTLin1,128996.500,183.250,183.250
