Type,Onset,Duration,DurationCorrected
Opto1,136653.000,224.250,204.250
TTLin1,137114.250,183.250,183.250
Opto1,137152.250,224.500,204.500
TTLin1,137614.000,183.250,183.250
Opto1,137652.250,224.750,204.750
TTLin1,138113.750,183.250,183.250
Opto1,138152.000,224.250,204.250
TTLin1,138613.500,183.000,183.000
Opto1,138651.750,224.500,204.500
TTLin1,139113.250,183.000,183.000
Opto1,139150.500,225.750,205.750
TTLin1,139612.750,183.250,183.250
Opto1,139651.250,224.750,204.750
TTLin1,140112.500,183.250,183.250
Opto1,140151.000,224.750,204.750
TTLin1,140612.250,183.250,183.250
Opto1,140650.500,224.750,204.750
TTLin1,141112.000,183.250,183.250
Opto1,141150.500,224.500,204.500
TTLin1,141611.750,183.250,183.250
Opto1,141650.000,224.750,204.750
TTLin1,142111.500,183.250,183.250
Opto1,142149.750,224.500,204.500
TTLin1,142611.250,183.250,183.250
Opto1,142649.500,224.250,204.250
TTLin1,143110.750,183.250,183.250
Opto1,143149.250,224.750,204.750
TTLin1,143610.500,183.250,183.250
Opto1,143648.750,224.500,204.500
TTLin1,144110.250,183.250,183.250
Opto1,144147.750,225.500,205.500
TTLin1,144610.000,183.250,183.250
Opto1,144647.750,225.000,205.000
TTLin1,145109.750,183.250,183.250
Opto1,145148.000,224.750,204.750
TTLin1,145609.250,183.250,183.250
Opto1,145647.750,224.750,204.750
TTLin1,146109.000,183.250,183.250
Opto1,146146.750,225.500,205.500
TTLin1,146609.000,183.250,183.250
Opto1,146647.250,224.250,204.250
TTLin1,147108.750,183.250,183.250
Opto1,147147.000,224.750,204.750
TTLin1,147608.500,183.000,183.000
Opto1,147646.000,225.250,205.250
TTLin1,148108.000,183.250,183.250
Opto1,148146.000,225.000,205.000
TTLin1,148607.750,183.250,183.250
Opto1,148646.000,224.500,204.500
TTLin1,149107.500,183.250,183.250
Opto1,149144.500,226.000,206.000
TTLin1,149607.250,183.250,183.250
Opto1,149645.250,224.750,204.750
TTLin1,150107.000,183.000,183.000
Opto1,150145.000,224.000,204.000
TTLin1,150606.500,183.500,183.500
Opto1,150644.000,225.500,205.500
TTLin1,151106.250,183.250,183.250
