Type,Onset,Duration,DurationCorrected
TTLin1,72588.000,183.250,183.250
Opto1,72612.250,224.500,204.500
TTLin1,73087.750,183.250,183.250
Opto1,73112.000,224.750,204.750
TTLin1,73587.500,183.250,183.250
Opto1,73611.750,224.500,204.500
TTLin1,74087.250,183.250,183.250
Opto1,74111.500,224.500,204.500
TTLin1,74587.000,183.000,183.000
Opto1,74611.000,224.750,204.750
TTLin1,75086.500,183.250,183.250
Opto1,75111.000,224.500,204.500
TTLin1,75586.250,183.250,183.250
Opto1,75610.500,224.750,204.750
TTLin1,76086.000,183.250,183.250
Opto1,76110.500,224.500,204.500
TTLin1,76585.750,183.250,183.250
Opto1,76610.000,224.500,204.500
TTLin1,77085.500,183.250,183.250
Opto1,77109.750,224.250,204.250
TTLin1,77585.250,183.250,183.250
Opto1,77609.500,224.500,204.500
TTLin1,78085.000,183.250,183.250
Opto1,78109.250,224.500,204.500
TTLin1,78584.750,183.250,183.250
Opto1,78609.000,224.500,204.500
TTLin1,79084.500,183.000,183.000
Opto1,79108.750,224.250,204.250
TTLin1,79584.000,183.250,183.250
Opto1,79608.250,224.500,204.500
TTLin1,80083.750,183.250,183.250
Opto1,80108.000,224.500,204.500
TTLin1,80583.500,183.250,183.250
Opto1,80607.750,224.500,204.500
TTLin1,81083.250,183.250,183.250
Opto1,81107.500,224.250,204.250
TTLin1,81583.000,183.000,183.000
Opto1,81607.000,224.750,204.750
TTLin1,82082.500,183.250,183.250
Opto1,82107.000,224.250,204.250
TTLin1,82598.250,183.250,183.250
Opto1,82623.250,224.500,204.500
TTLin1,83098.250,183.250,183.250
Opto1,83123.000,224.500,204.500
TTLin1,83598.000,183.250,183.250
Opto1,83622.500,224.500,204.500
TTLin1,84098.750,183.250,183.250
Opto1,84122.250,224.500,204.500
TTLin1,84598.500,183.250,183.250
Opto1,84622.250,224.250,204.250
TTLin1,85098.000,183.250,183.250
Opto1,85121.750,224.500,204.500
TTLin1,85597.750,183.250,183.250
Opto1,85621.750,224.000,204.000
TTLin1,86097.500,183.250,183.250
Opto1,86121.250,224.500,204.500
TTLin1,86597.250,183.250,183.250
Opto1,86620.750,224.750,204.750
TTLin1,87097.000,183.250,183.250
Opto1,87120.750,224.250,204.250
TTLin1,87596.750,183.250,183.250
Opto1,87620.500,224.000,204.000
TTLin1,88096.500,183.000,183.000
Opto1,88120.000,224.500,204.500
TTLin1,88596.000,183.250,183.250
Opto1,88619.750,224.250,204.250
TTLin1,89095.750,183.250,183.250
Opto1,89119.500,224.500,204.500
TTLin1,89595.500,183.250,183.250
Opto1,89619.000,224.500,204.500
TTLin1,90097.500,183.250,183.250
Opto1,90119.000,224.500,204.500
TTLin1,90597.000,183.250,183.250
Opto1,90618.750,224.250,204.250
TTLin1,91096.750,183.250,183.250
Opto1,91118.250,224.500,204.500
TTLin1,91596.500,183.250,183.250
Opto1,91618.000,224.500,204.500
TTLin1,92096.250,183.250,183.250
Opto1,92117.750,224.250,204.250
TTLin1,92596.000,183.250,183.250
Opto1,92617.500,224.250,204.250
TTLin1,93095.500,183.250,183.250
Opto1,93117.250,224.250,204.250
TTLin1,93595.250,183.250,183.250
Opto1,93616.750,224.500,204.500
TTLin1,94095.000,183.250,183.250
Opto1,94116.500,224.500,204.500
TTLin1,94594.750,183.250,183.250
Opto1,94616.250,224.500,204.500
TTLin1,95094.500,183.000,183.000
Opto1,95116.000,224.500,204.500
TTLin1,95594.000,183.250,183.250
Opto1,95615.750,224.500,204.500
TTLin1,96104.000,183.250,183.250
Opto1,96132.000,224.500,204.500
TTLin1,96603.750,183.250,183.250
